SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE
PAST SALE,Single Family Residential,9579 NW Ember Ln,Portland,OR,97229,490000,3,2.5,NW Washington Co or Sauvie Island,1739,3484,2010,239,282,57,Sold,http://www.redfin.com/OR/Portland/9579-NW-Ember-Ln-97229/home/26737768,RMLS,20698228,45.5275196,-122.7756452
PAST SALE,Single Family Residential,6220 SW Sheridan St,Portland,OR,97225,925000,5,3.5,Canyon Creek,4559,19166,1997,577,203,125,Sold,http://www.redfin.com/OR/Portland/6220-SW-Sheridan-St-97225/home/26297323,RMLS,19327803,45.5039978,-122.7391567
PAST SALE,Single Family Residential,4686 NW Dresden Pl,Portland,OR,97229,575000,3,2.5,NW Washington Co or Sauvie Island,2279,3920,2005,355,252,25,Sold,http://www.redfin.com/OR/Portland/4686-NW-Dresden-Pl-97229/home/26729706,RMLS,20033891,45.5534891,-122.8071923
PAST SALE,Single Family Residential,10048 NW Fleetwood Dr,Portland,OR,97229,563000,4,2.5,CEDAR MILL,2004,5227,2000,845,281,8,Sold,http://www.redfin.com/OR/Portland/10048-NW-Fleetwood-Dr-97229/home/26711479,RMLS,19692373,45.5325929,-122.7803317
PAST SALE,Single Family Residential,9367 SE Emmert View Ct,Happy Valley,OR,97086,652000,5,3.5,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",3359,10018,2005,1436,194,70,Sold,http://www.redfin.com/OR/Happy-Valley/9367-SE-Emmert-View-Ct-97086/home/26061762,RMLS,17149792,45.4577835,-122.5659162
PAST SALE,Single Family Residential,10421 NW Burkhardt Ct,Portland,OR,97229,780000,4,2.5,FOREST HEIGHTS,3683,11761,1994,227,212,52,Sold,http://www.redfin.com/OR/Portland/10421-NW-Burkhardt-Ct-97229/home/25809963,RMLS,20217106,45.5416757,-122.7843886
PAST SALE,Single Family Residential,9628 NW Paxton Ct,Portland,OR,97035,675000,5,3.5,Forest Heights,3212,6969,1997,1814,210,98,Sold,http://www.redfin.com/OR/Portland/9628-NW-Paxton-Ct-97229/home/26533068,RMLS,16225045,45.5471881,-122.7760215
PAST SALE,Single Family Residential,11873 NW Maple Hill Ln,Portland,OR,97229,724900,4,2.5,Cedar Heights West,2662,4356,2015,29,272,37,Sold,http://www.redfin.com/OR/Portland/11873-NW-Maple-Hill-Ln-97229/home/112776072,RMLS,21122279,45.5361924,-122.7990504
PAST SALE,Single Family Residential,14897 SW Huntwood Ct,Tigard,OR,97224,527000,5,3,"Tigard, Tualatin, Sherwood, Wilsonville",3154,4791,2005,1347,167,33,Sold,http://www.redfin.com/OR/Tigard/14897-SW-Huntwood-Ct-97224/home/25733095,RMLS,17152264,45.4055052,-122.8301782
PAST SALE,Single Family Residential,13094 NW Corso Ln,Portland,OR,97229,750000,4,3,NW Washington Co or Sauvie Island,2720,6534,2002,30,276,43,Sold,http://www.redfin.com/OR/Portland/13094-NW-Corso-Ln-97229/home/26696630,RMLS,21519913,45.5452693,-122.8117504
PAST SALE,Single Family Residential,9576 NW Marvin Ln,Portland,OR,97229,845000,4,2.5,FOREST HEIGHTS,2830,6969,1997,51,299,52,Sold,http://www.redfin.com/OR/Portland/9576-NW-Marvin-Ln-97229/home/26691961,RMLS,21522815,45.5317442,-122.7756838
PAST SALE,Single Family Residential,13339 NW Bertani St,Portland,OR,97229,960000,5,3,ARBOR HEIGHTS / Bethany,3519,5662,2007,26,273,143,Sold,http://www.redfin.com/OR/Portland/13339-NW-Bertani-St-97229/home/26671922,RMLS,21406122,45.5571161,-122.8143967
