SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE,geometry
PAST SALE,Townhouse,15996 NW Brugger Rd,Portland,OR,97229,460000,3,2.5,North Bethany Creek,1962,3484,2015,491,234,170,Sold,http://www.redfin.com/OR/Portland/15996-NW-Brugger-Rd-97229/home/65681249,RMLS,20619187,45.5691071,-122.8420951,POINT (-13674719.47451089 5711565.172528177)
PAST SALE,Single Family Residential,14228 SW Tewkesbury Dr,Portland,OR,97224,580000,4,2.5,Eagles View,2615,4791,2001,29,222,35,Sold,http://www.redfin.com/OR/Portland/14228-SW-Tewkesbury-Dr-97224/home/26560171,RMLS,21512744,45.407058299999996,-122.8228175,POINT (-13672573.50189517 5685833.751471671)
PAST SALE,Single Family Residential,13217 SW Hazelcrest Way,Tigard,OR,97224,680000,5,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2615,5227,2014,173,260,63,Sold,http://www.redfin.com/OR/Tigard/13217-SW-Hazelcrest-Way-97224/home/65681459,RMLS,21280740,45.4110903,-122.81273329999999,POINT (-13671450.93388611 5686473.088276791)
PAST SALE,Single Family Residential,13271 SW Hazelcrest Way,Tigard,OR,97224,575000,4,2.5,Sequoia Heights,2615,5227,2014,1096,220,60,Sold,http://www.redfin.com/OR/Tigard/13271-SW-Hazelcrest-Way-97224/home/65681456,RMLS,18374054,45.411094399999996,-122.8134817,POINT (-13671534.24539302 5686473.738419292)
PAST SALE,Single Family Residential,5583 NW 132nd Ave,Portland,OR,97229,750000,5,3.0,Arbor Heights,3215,6098,2007,1478,233,126,Sold,http://www.redfin.com/OR/Portland/5583-NW-132nd-Ave-97229/home/26731005,RMLS,17181733,45.55963320000001,-122.8132298,POINT (-13671506.20401329 5710058.789981711)
PAST SALE,Single Family Residential,13276 SW Hazelcrest Way,Tigard,OR,97224,535000,4,2.5,Sequoia Heights,2615,4356,2015,843,205,62,Sold,http://www.redfin.com/OR/Tigard/13276-SW-Hazelcrest-Way-97224/home/65681467,RMLS,19249068,45.4107494,-122.8135334,POINT (-13671540.0006107 5686419.031471631)
PAST SALE,Single Family Residential,13373 NW Lombardy Dr,Portland,OR,97229,898000,5,3.0,Bethany Arbor Heights,3191,6098,2015,239,281,140,Sold,http://www.redfin.com/OR/Portland/13373-NW-Lombardy-Dr-97229/home/65681395,RMLS,20616492,45.561602,-122.81459469999999,POINT (-13671658.14398627 5710371.815014845)
PAST SALE,Single Family Residential,15953 NW Heckman Ln,Portland,OR,97229,586000,5,3.0,NORTH BETHANY CREEK,2264,4356,2014,640,259,60,Sold,http://www.redfin.com/OR/Portland/15953-NW-Heckman-Ln-97229/home/65681296,RMLS,19135644,45.5680411,-122.84149280000001,POINT (-13674652.42678158 5711395.662192535)
PAST SALE,Single Family Residential,13357 NW Greenwood Dr,Portland,OR,97229,835000,5,3.0,NW Washington Co or Sauvie Island,3492,6098,2016,1055,239,121,Sold,http://www.redfin.com/OR/Portland/13357-NW-Greenwood-Dr-97229/home/65681381,RMLS,18536400,45.560838700000005,-122.8145355,POINT (-13671651.55387242 5710250.45450538)
PAST SALE,Single Family Residential,13328 NW Lombardy Dr,Portland,OR,97229,930000,6,4.0,NW Washington Co or Sauvie Island,3653,7840,2016,869,255,125,Sold,http://www.redfin.com/OR/Portland/13328-NW-Lombardy-Dr-97229/home/65681371,RMLS,19399053,45.5612334,-122.8143328,POINT (-13671628.98941164 5710313.209432612)
PAST SALE,Townhouse,15733 NE Beech St,Portland,OR,97230,212000,2,2.0,Portland Northeast,1096,1742,2000,953,193,120,Sold,http://www.redfin.com/OR/Portland/15733-NE-Beech-St-97230/home/25832778,RMLS,18525892,45.550149,-122.501073,POINT (-13636757.06798963 5708551.024088254)
PAST SALE,Single Family Residential,925 SW Mozart Ter,Portland,OR,97225,450000,4,2.5,WEST HAVEN,1773,2178,2009,638,254,77,Sold,http://www.redfin.com/OR/Portland/925-SW-Mozart-Ter-97225/home/26555865,RMLS,19494633,45.5130657,-122.77126240000001,POINT (-13666834.41441537 5702658.087862532)
PAST SALE,Townhouse,10280 NW Forestview Way,Portland,OR,97229,383500,3,2.5,Mill Woods Townhomes,1660,3049,2001,1488,231,205,Sold,http://www.redfin.com/OR/Portland/10280-NW-Forestview-Way-97229/home/26704437,RMLS,17138512,45.532213,-122.7828449,POINT (-13668123.77241749 5705700.315116354)
PAST SALE,Single Family Residential,7256 NW Baneberry Pl #21,Portland,OR,97229,597995,5,3.5,ABBEY CREEK IN BETHANY,2680,3920,2018,795,223,74,Sold,http://www.redfin.com/OR/Portland/7256-NW-Oakfern-Dr-97229/unit-21/home/147887425,RMLS,18385224,45.54113007,-122.7773743,POINT (-13667514.78801115 5707117.461225787)
PAST SALE,Single Family Residential,2383 NW Byrne Ter,Portland,OR,97229,680000,4,3.5,Bonny Slope,2846,3484,2005,29,239,25,Sold,http://www.redfin.com/OR/Portland/2383-NW-Byrne-Ter-97229/home/25766722,RMLS,21118484,45.536882299999995,-122.79652549999999,POINT (-13669646.68984323 5706442.355988756)
PAST SALE,Single Family Residential,4263 NW Ashbrook Dr,Portland,OR,97229,744900,4,3.5,THOMPSON WOODS - ARBOR,2905,3920,2019,585,256,83,Sold,http://www.redfin.com/OR/Portland/4263-NW-Ashbrook-Dr-97229/home/147036459,RMLS,19124918,45.550307000000004,-122.8052879,POINT (-13670622.11574936 5708576.140307344)
PAST SALE,Single Family Residential,10858 NW Claire Ct,Portland,OR,97229,749900,5,4.0,IRON RIDGE ESTATES,3544,4791,2015,1520,212,48,Sold,http://www.redfin.com/OR/Portland/10858-NW-Claire-Ct-97229/home/65636345,RMLS,17047535,45.5374162,-122.78860790000002,POINT (-13668765.30664293 5706527.206812323)
PAST SALE,Townhouse,16521 NW Rossetta St,Portland,OR,97229,425500,3,2.5,Arbor Oaks,1677,2613,2013,907,254,100,Sold,http://www.redfin.com/OR/Portland/16521-NW-Rossetta-St-97229/home/45459705,RMLS,19346517,45.568647600000006,-122.8474949,POINT (-13675320.57749727 5711492.104592211)
PAST SALE,Single Family Residential,689 SW Stephenson St,Portland,OR,97219,875000,3,2.5,Tryon Creek Estates,3818,10018,2016,683,229,42,Sold,http://www.redfin.com/OR/Portland/689-SW-Stephenson-St-97219/home/65636285,RMLS,19071558,45.4394989,-122.68641629999999,POINT (-13657389.38976758 5690979.011417842)
PAST SALE,Single Family Residential,690 SW Stephenson St,Portland,OR,97219,850000,6,4.0,"Portland West, Raleigh Hills",3290,9147,2017,1353,258,25,Sold,http://www.redfin.com/OR/Portland/690-SW-Stephenson-St-97219/home/65636266,RMLS,17472909,45.4396936,-122.68604690000001,POINT (-13657348.26834768 5691009.900851022)
PAST SALE,Single Family Residential,672 SW Stephenson St,Portland,OR,97219,869950,4,4.0,"Portland West, Raleigh Hills",4100,9583,2017,1586,212,25,Sold,http://www.redfin.com/OR/Portland/672-SW-Stephenson-St-97219/home/65636265,RMLS,17506290,45.43964570000001,-122.68567720000001,POINT (-13657307.11353194 5691002.301437701)
PAST SALE,Townhouse,8841 SE 13th Ave,Portland,OR,97202,463600,4,3.0,SELLWOOD,1758,871,2007,1355,264,235,Sold,http://www.redfin.com/OR/Portland/8841-SE-13th-Ave-97202/home/25795977,RMLS,17261660,45.4587673,-122.65314740000002,POINT (-13653685.91276033 5694036.487479319)
PAST SALE,Single Family Residential,662 SW Stephenson St,Portland,OR,97219,1070950,4,4.5,"Portland West, Raleigh Hills",4178,12196,2018,995,256,83,Sold,http://www.redfin.com/OR/Portland/662-SW-Stephenson-St-97219/home/65636264,RMLS,18445865,45.4389165,-122.68670459999998,POINT (-13657421.48317677 5690886.613462009)
PAST SALE,Single Family Residential,656 SW Stephenson St,Portland,OR,97219,1075000,4,3.0,"Portland West, Raleigh Hills",3518,9583,2019,613,306,83,Sold,http://www.redfin.com/OR/Portland/656-SW-Stephenson-St-97219/home/65636263,RMLS,19346407,45.4389463,-122.68599750000001,POINT (-13657342.76916484 5690891.341218877)
PAST SALE,Single Family Residential,9330 N Woolsey Ave,Portland,OR,97203,320000,3,2.5,New Columbia,1362,2178,2007,458,235,101,Sold,http://www.redfin.com/OR/Portland/9330-N-Woolsey-Ave-97203/home/26620893,RMLS,20127090,45.590895,-122.7137469,POINT (-13660431.81824265 5715030.48761402)
PAST SALE,Single Family Residential,6929 NW 170th Ave,Portland,OR,97229,671000,5,3.0,ARBOR OAKS,2792,4791,2013,1241,240,103,Sold,http://www.redfin.com/OR/Portland/6929-NW-170th-Ave-97229/home/52920887,RMLS,18014668,45.5695721,-122.8524476,POINT (-13675871.90953933 5711639.115661675)
