SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-11-2018,Single Family Residential,2016 NW Langley Ct,Portland,OR,97229,888000,5,3.5,"Portland West, Raleigh Hills",4009,14374,1993,1151,222,49,Sold,,,http://www.redfin.com/OR/Portland/2016-NW-Langley-Ct-97229/home/26582401,RMLS,18652309,N,Y,45.5373306,-122.7739209
PAST SALE,August-10-2021,Single Family Residential,4460 NW Malhuer Ave,Portland,OR,97229,805000,4,3,ROCK CREEK COUNTRY CLUB,3712,14810,1971,25,217,,Sold,,,http://www.redfin.com/OR/Portland/4460-NW-Malheur-Ave-97229/home/26572913,RMLS,21517650,N,Y,45.5508869,-122.8816041
PAST SALE,February-1-2018,Single Family Residential,325 SE 139th Ave,Portland,OR,97233,225000,3,2,Portland Southeast,1128,6969,1955,1311,199,,Sold,,,http://www.redfin.com/OR/Portland/325-SE-139th-Ave-97233/home/26558821,RMLS,17391279,N,Y,45.5201698,-122.5214822
PAST SALE,,Other,2068 NW Flanders St,Portland,OR,97209,2550000,17,9,,8088,5000,1907,,315,,,,,http://www.redfin.com/OR/Portland/2068-NW-Flanders-St-97209/home/26314568,,,N,Y,45.5253764,-122.6937698
PAST SALE,July-27-2021,Single Family Residential,6635 SE Steele St,Portland,OR,97206,515000,3,1,MT SCOTT/ARLETA/WOODSTOCK,1263,3920,1926,39,408,,Sold,,,http://www.redfin.com/OR/Portland/6635-SE-Steele-St-97206/home/26656021,RMLS,21230728,N,Y,45.4844103,-122.5947724
PAST SALE,,Single Family Residential,8252 SE Rhone St,Portland,OR,97266,280000,3,1,,1504,5600,1943,,186,,,,,http://www.redfin.com/OR/Portland/8252-SE-Rhone-St-97266/home/26518653,,,N,Y,45.4953327,-122.5778352
PAST SALE,,Single Family Residential,4829 SE 113th Ave,Portland,OR,97266,370000,,2.5,,1686,6578,2007,,219,,,,,http://www.redfin.com/OR/Portland/4829-SE-113th-Ave-97266/home/25837129,,,N,Y,45.4870381,-122.5472642
PAST SALE,February-25-2019,Condo/Co-op,17508 SE Reserve Loop,Milwaukie,OR,97267,294000,3,2.5,REX HILL,1553,,2005,922,189,183,Sold,,,http://www.redfin.com/OR/Milwaukie/17508-SE-Reserve-Loop-97267/home/26077740,RMLS,18321914,N,Y,45.3968882,-122.6120452
PAST SALE,,Multi-Family (2-4 Unit),1433 SE Bybee Blvd,Portland,OR,97202,500000,4,2,,2146,5000,1909,,233,,,,,http://www.redfin.com/OR/Portland/1433-SE-Bybee-Blvd-97202/home/26510391,,,N,Y,45.4739014,-122.6509891
PAST SALE,August-9-2021,Single Family Residential,17895 NW Tillamook Dr,Portland,OR,97229,472000,3,1,NW Washington Co or Sauvie Island,1376,8276,1968,26,343,,Sold,,,http://www.redfin.com/OR/Portland/17895-NW-Tillamook-Dr-97229/home/26655151,RMLS,21366797,N,Y,45.5461713,-122.8614005
